recurso;sistema;manual;ramo_ser;recurso_catalogo;pareamento;secao;tipo;texto_original;idade_min;idade_max;sexo;pergunta;documento;fonte
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Anafilaxia;;;;Anafilaxia;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Urticária e angioedema agudos e crônicos com fator etiológico desconhecido;;;;Urticária e angioedema agudos e crônicos com fator etiológico desconhecido;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;Dedutivel;Rinite alérgica persistente de crianças entre 2 a 12 anos;2;12;;;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;Dedutivel;Asma brônquica persistente de crianças entre 2 a 12 anos;2;12;;;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Dermatite atópica moderada a grave;;;;Dermatite atópica moderada a grave;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Alergia alimentar;;;;Alergia alimentar;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Sinusites frequentes;;;;Sinusites frequentes;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Asma grave - crises frequentes (mais de cinco por ano);;;;Asma grave - crises frequentes (mais de cinco por ano);;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Internações - atendimento de emergência;;;;Internações - atendimento de emergência;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Prejuízo na Escola - dificuldades em exercícios e esportes;;;;Prejuízo na Escola - dificuldades em exercícios e esportes;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;Dedutivel;Lactentes sibilante - até 2 anos de idade;;2;;;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Urticária crônica e angioedema com mais de 6 semanas de duração;;;;Urticária crônica e angioedema com mais de 6 semanas de duração;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Dermatite atópica grave com infecção secundária, grande extensão e prejuízo estético;;;;Dermatite atópica grave com infecção secundária, grande extensão e prejuízo estético;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Dermatite de contato extensa e sem etiologia definida;;;;Dermatite de contato extensa e sem etiologia definida;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Alergia alimentar com reações sistêmicas graves;;;;Alergia alimentar com reações sistêmicas graves;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Reações adversas a drogas com sintomas sistêmicos graves;;;;Reações adversas a drogas com sintomas sistêmicos graves;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Reação grave a picada de inseto com reação sistêmica ou reaccao local importante ou infecções secundárias e cicatrizes;;;;Reação grave a picada de inseto com reação sistêmica ou reaccao local importante ou infecções secundárias e cicatrizes;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;"Imunodeficiência primária- suspeita se tiver: Pneumonia de repetição (mais de 2 no último ano); infecções de repetição (mais de 8 no último ano)";;;;"Imunodeficiência primária- suspeita se tiver: Pneumonia de repetição (mais de 2 no último ano); infecções de repetição (mais de 8 no último ano)";;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Otite, sinusite e etc. com abscessos de repetição;;;;Otite, sinusite e etc. com abscessos de repetição;;CRECE p.12
ALERGOLOGIA PEDIATRIA;SER;CRECE;AmbulatorioEstadual;CONSULTA EM ALERGOLOGIA - PEDIATRIA;celula;inclusao;NaoDedutivel;Reações adversas a BCG;;;;Reações adversas a BCG;;CRECE p.12
