id,nome,grupo,lan,gateway_mk,faixa_aparelhos,tunnel_ip,mk_pubkey,mk_lan_atual,status,endereco,gestor
0,COMPLEXO REGULADOR,ESPECIALIZADA,10.200.0.0/24,10.200.0.1,10.200.0.10 - 10.200.0.200,10.201.0.10,Xi1xtKDBkkGfXfAYAJSwD6qeJEIJRtHt9szUvE49yXw=,10.3.74.254,ATIVA,"Rua Albatroz, Lt.1320 Qd.46, Parque Nanci",Vivian / 21 997670154
1,Ambulatório Péricles Siqueira Pereira,ESPECIALIZADA,10.200.1.0/24,10.200.1.1,10.200.1.10 - 10.200.1.200,10.201.0.11,,,PLANEJADA,"Rua Dr. Milton de Souza Pacheco, 6 - Parque Eldorado",Adriana / 21 972252643
2,Central de Assistência Farmacêutica - CAF,ESPECIALIZADA,10.200.2.0/24,10.200.2.1,10.200.2.10 - 10.200.2.200,10.201.0.12,,,PLANEJADA,"Rua Ary Spindola, 23 - Flamengo/Centro",Daniele / 21 989861277
3,CAPS III,ESPECIALIZADA,10.200.3.0/24,10.200.3.1,10.200.3.10 - 10.200.3.200,10.201.0.13,,,PLANEJADA,"Rua Clímaco Pereira, 259 - Centro",Lorena / 21 986221605
4,CAPS AD (Álcool e Drogas),ESPECIALIZADA,10.200.4.0/24,10.200.4.1,10.200.4.10 - 10.200.4.200,10.201.0.14,,,PLANEJADA,"Rua Jovino Duarte de Oliveira, 23 - Centro",Givana / 21 998134279
5,CAPSI (Infantojuvenil),ESPECIALIZADA,10.200.5.0/24,10.200.5.1,10.200.5.10 - 10.200.5.200,10.201.0.15,,,PLANEJADA,"Rua Homero de Queiroz da Silva, 363 - Eldorado",Sara / 21 997464692
6,Centro de Diagnóstico e Tratamento - CDT,ESPECIALIZADA,10.200.6.0/24,10.200.6.1,10.200.6.10 - 10.200.6.200,10.201.0.16,,,PLANEJADA,"Rua Ary Spindola, 520 - Centro",Adriana / 21 995072131
7,CEO Boqueirão (Odonto),ESPECIALIZADA,10.200.7.0/24,10.200.7.1,10.200.7.10 - 10.200.7.200,10.201.0.17,,,PLANEJADA,"Av. Pref. Ivan Mundim, 737 - Araçatiba",Fred / 21 996997761
8,CEO Itaipuaçu (Odonto),ESPECIALIZADA,10.200.8.0/24,10.200.8.1,10.200.8.10 - 10.200.8.200,10.201.0.18,,,PLANEJADA,"R. Prof. Cardoso de Menezes, s/n - Itaipuaçu",Isadora / 21 994529105
9,CRAD (Reabilitação),ESPECIALIZADA,10.200.9.0/24,10.200.9.1,10.200.9.10 - 10.200.9.200,10.201.0.19,,,PLANEJADA,"Av. Roberto Silveira, 2158 - Flamengo",Roberta / 21 986300335
10,Centro Materno Infantil - CMI,ESPECIALIZADA,10.200.10.0/24,10.200.10.1,10.200.10.10 - 10.200.10.200,10.201.0.20,,,PLANEJADA,"Rua Clímaco Pereira, 375 - Centro",Jessé / 21 971724365
11,CEREST,ESPECIALIZADA,10.200.11.0/24,10.200.11.1,10.200.11.10 - 10.200.11.200,10.201.0.21,,,PLANEJADA,"Rua Dr. Jovino Duarte, 2142 - Araçatiba",Viviane / 21 981295699
12,CIEVIS,ESPECIALIZADA,10.200.12.0/24,10.200.12.1,10.200.12.10 - 10.200.12.200,10.201.0.22,,,PLANEJADA,"Rua Clímaco Pereira, 367 - Centro (SMS 2o andar)",Daniela / 21 983510920
13,CVI,ESPECIALIZADA,10.200.13.0/24,10.200.13.1,10.200.13.10 - 10.200.13.200,10.201.0.23,,,PLANEJADA,"Av. Roberto Silveira, 46 - Centro (TACO 1o andar)",
14,Gerência Administrativa,ESPECIALIZADA,10.200.14.0/24,10.200.14.1,10.200.14.10 - 10.200.14.200,10.201.0.24,,,PLANEJADA,"Rua Clímaco Pereira, 367 - Centro (SMS 2o andar)",
15,Núcleo de Imunização,ESPECIALIZADA,10.200.15.0/24,10.200.15.1,10.200.15.10 - 10.200.15.200,10.201.0.25,,,PLANEJADA,"Rua Um, 50, Qd.02 - São José do Imbassaí",André / 21 972734518
16,SAD (Atendimento Domiciliar),ESPECIALIZADA,10.200.16.0/24,10.200.16.1,10.200.16.10 - 10.200.16.200,10.201.0.26,,,PLANEJADA,"Rua Adelaide Bezerra, 247",Ramile / 21 968812266
17,SAE (Atendimento Especializado),ESPECIALIZADA,10.200.17.0/24,10.200.17.1,10.200.17.10 - 10.200.17.200,10.201.0.27,,,PLANEJADA,"Rua Joaquim Ferreira da Silva, Qd.160 Lt.03 - Araçatiba",Daniele / 21 996306658
