id,nome,grupo,lan,gateway_mk,faixa_aparelhos,tunnel_ip,mk_pubkey,mk_lan_atual,status,endereco,gestor,mk_mac,mk_senha_etiqueta
0,COMPLEXO REGULADOR,ESPECIALIZADA,10.200.0.0/24,10.200.0.1,10.200.0.10 - 10.200.0.200,10.201.0.10,fbrHbrRVFWBIsJIIx+qwUk9OQG0A1d/tGYYcRtX7ZDc=,10.3.74.254,ATIVA,"Rua Albatroz, Lt.1320 Qd.46, Parque Nanci",Vivian / 21 997670154,,
1,Ambulatório Péricles Siqueira Pereira,ESPECIALIZADA,10.200.1.0/24,10.200.1.1,10.200.1.10 - 10.200.1.200,10.201.0.11,Xl4rlXJ3WffWjBYywcgp3UdDGUOsXSeEYFwj2pn0fjw=,,PRE_CONFIGURADA,"Rua Dr. Milton de Souza Pacheco, 6 - Parque Eldorado",Adriana / 21 972252643,04f41cd8dedc,DLTR3RLKC7
2,Central de Assistência Farmacêutica - CAF,ESPECIALIZADA,10.200.2.0/24,10.200.2.1,10.200.2.10 - 10.200.2.200,10.201.0.12,TNAX4RS85GrMPTUY6Lh/Xc036xICYAtyUNRLjN2P1xM=,,PRE_CONFIGURADA,"Rua Ary Spindola, 23 - Flamengo/Centro",Daniele / 21 989861277,04f41cd8da57,QHKWA9ZCDE
3,CAPS III,ESPECIALIZADA,10.200.3.0/24,10.200.3.1,10.200.3.10 - 10.200.3.200,10.201.0.13,CYaCYms7DQhfe+O+NKw4EydtPy/ssae3piOodI99Yzk=,,PRE_CONFIGURADA,"Rua Clímaco Pereira, 259 - Centro",Lorena / 21 986221605,04f41cd58d20,WA4WCUYRCQ
4,CAPS AD (Álcool e Drogas),ESPECIALIZADA,10.200.4.0/24,10.200.4.1,10.200.4.10 - 10.200.4.200,10.201.0.14,bT+2iyZwP6BG57SosIDZH5heSPgtcR+NaxYk2z3bZE0=,,PRE_CONFIGURADA,"Rua Jovino Duarte de Oliveira, 23 - Centro",Givana / 21 998134279,04f41cd5758a,H3DN6MEH4P
5,CAPSI (Infantojuvenil),ESPECIALIZADA,10.200.5.0/24,10.200.5.1,10.200.5.10 - 10.200.5.200,10.201.0.15,0SKWisgYoDIo8zn022um3Veouze+H/RyKlstD7sWdUs=,,PRE_CONFIGURADA,"Rua Homero de Queiroz da Silva, 363 - Eldorado",Sara / 21 997464692,04f41cd576c2,NMYYQDDVR4
6,Centro de Diagnóstico e Tratamento - CDT,ESPECIALIZADA,10.200.6.0/24,10.200.6.1,10.200.6.10 - 10.200.6.200,10.201.0.16,Km9icBzCDcWcRyeYVP/TRpIduKqKsNlA+2sWzBe0rik=,,PRE_CONFIGURADA,"Rua Ary Spindola, 520 - Centro",Adriana / 21 995072131,04f41cd5775a,YDKJMEFXW7
7,CEO Boqueirão (Odonto),ESPECIALIZADA,10.200.7.0/24,10.200.7.1,10.200.7.10 - 10.200.7.200,10.201.0.17,2bjbllkh+UTeKaBUsJtf9+sVPBnvjY1zMZ6w9Fc+sGc=,,PRE_CONFIGURADA,"Av. Pref. Ivan Mundim, 737 - Araçatiba",Fred / 21 996997761,04f41cd8dc05,REPJQEYDXK
8,CEO Itaipuaçu (Odonto),ESPECIALIZADA,10.200.8.0/24,10.200.8.1,10.200.8.10 - 10.200.8.200,10.201.0.18,Bbpxuhfe6BGggnqfD/mp9i+I998WAiavYStcvfN9wQM=,,PRE_CONFIGURADA,"R. Prof. Cardoso de Menezes, s/n - Itaipuaçu",Isadora / 21 994529105,04f41cd5dc38,RV34MWE9RV
9,CRAD (Reabilitação),ESPECIALIZADA,10.200.9.0/24,10.200.9.1,10.200.9.10 - 10.200.9.200,10.201.0.19,+3shgdyo0eG52cglljXOOyrXALEJ2TwSnwQNG4PZrUA=,,PRE_CONFIGURADA,"Av. Roberto Silveira, 2158 - Flamengo",Roberta / 21 986300335,04f41cd65fe6,J97TAFNXAV
